date,text,likes,retweets
2025-11-09 00:52:53+00:00,"@SenAdamSchiff Altria Group Inc, Apple, Booz Allen Hamilton Inc, Caterpillar Inc, Comcast Corporation, J. Pepe Emilia Fanjul, Hard Rock International, HP Inc, Micron Technology, Ripple, Reynolds American, T-MOBILE,Tether America, Union Pacific Railroad,Adelson family plus another 13 donars",0,0
2025-11-09 00:47:59+00:00,@TMobile it's been 82 hours and the issue is still unresolved . What appalls me is the supervisors telling me that they don't know when it will be resolved by the offline team.. are you guys even real,0,0
2025-11-09 00:47:33+00:00,"@JohnSaw @TMobile @deutschetelekom Well, brother of Christ, I think every single @ICEgov agent is a mega pussy. They don't have the unshaven ballsacks to actually go out and kill cartel members on the streets, they just pick on weaponless immigrants like the little wussy cunts they are. #cumtributeِs 🤼 https://t.co/ETHVIHGstT",0,0
2025-11-09 00:45:57+00:00,I'm replying to this tweet from a T-Mobile Sidekick https://t.co/IlQ1mI1uk1 https://t.co/Sv09WDKqjw,1,0
2025-11-09 00:42:03+00:00,"I never owned or used apple device. I only use cricket and Verizon is cell service. I never used work ISP except at HCA I did no wrong on it when I did. Currently Nov 8th 641pm  2025. I don't uses others cells or services. I never used sprint, T-Mobile, Nextel, Sling, Hotspots,",0,0
2025-11-09 00:39:47+00:00,"@speakinghouston @TMobile Hello. I’ve got all the steps and requirements for redeeming Hulu listed here: https://t.co/cMcGpO4Vuj. If you have any questions, feel free to send us a DM. ^PatrickUllmann",0,0
2025-11-09 00:37:55+00:00,".@TMobile is already kicking off the season with the best deals 🎁 https://t.co/lnQAylYD53

#TeamMagenta https://t.co/bTFYjMxcst",0,0
2025-11-09 00:37:04+00:00,@helium_mobile Im probably gonna go back to tmobile - youre counting hotspot usage against data plans and youre not even paying for those hotspot owners internet bills.,1,0
2025-11-09 00:34:30+00:00,@TMobile How do I get my free Hulu?,0,0
2025-11-09 00:33:46+00:00,"https://t.co/jl4R3hSZyg Upgrade to the Apple iPhone 16 Pro Max! This unlocked smartphone features 256GB of storage and runs on iOS. Perfect for any carrier like AT&amp;T, Verizon, or T-Mobile. #iPhone16ProMax #Apple #Smartphones #Unlocked #TechUpgrade #ads",1,0
2025-11-09 00:30:31+00:00,"@TheChefTrevor @SenAdamSchiff Google it.
Time to boycott, Moron:
Apple - byebye IPhone
AMAZON-no online shopping
Alphebet-no more YouTube
GOOGLE- no more searches
Comcast- no more cable service
T-mobile - no more ghetto cellphones
And there's plenty more, just start with thoes, you fucking ignorant bafoon🤣😂",0,0
2025-11-09 00:29:46+00:00,"@capksharma @SenAdamSchiff Google it.
Time to boycott, Moron:
Apple - byebye IPhone
AMAZON-no online shopping
Alphebet-no more YouTube
GOOGLE- no more searches
Comcast- no more cable service
T-mobile - no more ghetto cellphones
And there's plenty more, just start with thoes, you fucking ignorant bafoon🤣😂",0,0
